TinyProfiler total time across processes [min...avg...max]: 6.591 ... 6.591 ... 6.591

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
MLCellLinOp::prepareForSolve()                        157  0.0009001  0.0009001  0.0009001   0.01%
MLNodeLaplacian::FillBoundaryCoeff()                   64  0.0007773  0.0007773  0.0007773   0.01%
MLEBTensorOp::define()                                  1   0.000659   0.000659   0.000659   0.01%
DiffusionOp::ComputeDivJ                               63   0.000653   0.000653   0.000653   0.01%
OverrideSync_finish()                                 192  0.0005956  0.0005956  0.0005956   0.01%
MLLinOp::define()                                      69  0.0005633  0.0005633  0.0005633   0.01%
mfix::mfix_add_vel_txfr_implicit                       63  0.0005382  0.0005382  0.0005382   0.01%
MLCellLinOp::defineBC()                                 5  0.0005346  0.0005346  0.0005346   0.01%
BndryData::define()                                     5  0.0004806  0.0004806  0.0004806   0.01%
OwnerMask()                                            64  0.0004581  0.0004581  0.0004581   0.01%
MLMG::MLRhsNormInf()                                  217  0.0004578  0.0004578  0.0004578   0.01%
NeighborParticleContainer::getRcvCountsMPI            164  0.0003958  0.0003958  0.0003958   0.01%
MLCellLinOp::defineAuxData()                            5  0.0003558  0.0003558  0.0003558   0.01%
MLLinOp::defineGrids()                                 69  0.0003525  0.0003525  0.0003525   0.01%
ParticleContainer::BuildRedistributeMask              224  0.0003399  0.0003399  0.0003399   0.01%
FabArray::ParallelCopy_finish()                       246  0.0002839  0.0002839  0.0002839   0.00%
MultiFab::min()                                        64  0.0002754  0.0002754  0.0002754   0.00%
FabArray::setVal(val, thecmd, scomp, ncomp)           129  0.0002734  0.0002734  0.0002734   0.00%
FabArray<FAB>::SumBoundary_finish()                   214  0.0002687  0.0002687  0.0002687   0.00%
NeighborParticleContainer::areMasksValid              164  0.0002476  0.0002476  0.0002476   0.00%
MultiFab::max()                                        64  0.0002247  0.0002247  0.0002247   0.00%
mfix::mfix_correct_small_cells                         63  0.0001617  0.0001617  0.0001617   0.00%
FabArray::plus()                                       31  0.0001442  0.0001442  0.0001442   0.00%
FabArray::Saxpy()                                      69  0.0001423  0.0001423  0.0001423   0.00%
mfix::volWgtSum()                                      32  0.0001174  0.0001174  0.0001174   0.00%
NodalProjector::computeSyncResidual                    64  0.0001031  0.0001031  0.0001031   0.00%
FabArrayBase::FB::FB()                                 14    7.6e-05    7.6e-05    7.6e-05   0.00%
EB2::Initialize()                                       1      7e-05      7e-05      7e-05   0.00%
NeighborParticleContainer::GetNeighborCommTags          1   5.68e-05   5.68e-05   5.68e-05   0.00%
